Peak,2*(theta),theta,in Rad,sin(theta),sin^2(theta),N=2,N=3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,36.8,18.4,0.321140582,0.315649037,0.099634315,0.049817157,0.033211438,0.024908579,0.019926863,0.016605719,0.014233474,0.012454289,0.011070479,0.009963431,0.009057665,0.00830286,0.007664178,0.007116737,0.006642288,0.006227145,0.005860842,0.00553524,0.005243911,0.004981716
2,42.8,21.4,0.37350046,0.364876784,0.133135068,0.066567534,0.044378356,0.033283767,0.026627014,0.022189178,0.019019295,0.016641883,0.014792785,0.013313507,0.012103188,0.011094589,0.010241159,0.009509648,0.008875671,0.008320942,0.007831475,0.007396393,0.007007109,0.006656753
3,62.4,31.2,0.544542727,0.518027009,0.268351982,0.134175991,0.089450661,0.067087996,0.053670396,0.04472533,0.038335997,0.033543998,0.029816887,0.026835198,0.024395635,0.022362665,0.02064246,0.019167999,0.017890132,0.016771999,0.015785411,0.014908443,0.014123789,0.013417599
4,74.4,37.2,0.649262482,0.604599115,0.36554009,0.182770045,0.121846697,0.091385022,0.073108018,0.060923348,0.052220013,0.045692511,0.040615566,0.036554009,0.033230917,0.030461674,0.028118468,0.026110006,0.024369339,0.022846256,0.021502358,0.020307783,0.019238952,0.018277004
5,78.6,39.3,0.685914396,0.633380873,0.40117133,0.200585665,0.133723777,0.100292832,0.080234266,0.066861888,0.05731019,0.050146416,0.044574592,0.040117133,0.036470121,0.033430944,0.030859333,0.028655095,0.026744755,0.025073208,0.023598314,0.022287296,0.021114281,0.020058566
6,93.8,46.9,0.818559419,0.730162277,0.53313695,0.266568475,0.177712317,0.133284238,0.10662739,0.088856158,0.076162421,0.066642119,0.059237439,0.053313695,0.048466995,0.044428079,0.041010535,0.038081211,0.035542463,0.033321059,0.031360997,0.029618719,0.028059839,0.026656848
7,105.4,52.7,0.919788516,0.795473481,0.632778059,0.316389029,0.21092602,0.158194515,0.126555612,0.10546301,0.090396866,0.079097257,0.070308673,0.063277806,0.057525278,0.052731505,0.048675235,0.045198433,0.042185204,0.039548629,0.037222239,0.035154337,0.033304108,0.031638903
8,109.6,54.8,0.95644043,0.817144898,0.667725785,0.333862892,0.222575262,0.166931446,0.133545157,0.111287631,0.095389398,0.083465723,0.074191754,0.066772578,0.060702344,0.055643815,0.051363522,0.047694699,0.044515052,0.041732862,0.039277987,0.037095877,0.035143462,0.033386289
